"_id","close","closeTime","high","low","open","quoteAssetVolume","takerBuyBaseVolume","takerBuyQuoteVolume","trades","updatedAtLocal","volume"
"1751220000000","107640.01000000","1751223599999","107718.02000000","107445.40000000","107544.44000000","20992323.01166080","127.47350000","13709472.06254100","38217","2025-07-20T14:15:43.357Z","195.17898000"
"1751223600000","107406.81000000","1751227199999","107640.01000000","107365.96000000","107640.01000000","11498091.87935540","45.36280000","4876072.52421270","31551","2025-07-20T14:15:43.357Z","106.96705000"
"1751227200000","107359.79000000","1751230799999","107494.06000000","107359.78000000","107406.80000000","13742174.82555870","50.58040000","5434131.36966560","28377","2025-07-20T14:15:43.357Z","127.90868000"
"1751230800000","107543.48000000","1751234399999","107734.59000000","107250.00000000","107359.79000000","27388407.70251630","151.56190000","16290818.89490980","48528","2025-07-20T14:15:43.357Z","254.81614000"
"1751234400000","108079.90000000","1751237999999","108277.23000000","107543.48000000","107543.48000000","60754046.27631100","342.41467000","36977686.27794980","143868","2025-07-20T14:15:43.357Z","562.58019000"
"1751238000000","108356.93000000","1751241599999","108436.47000000","108013.28000000","108079.91000000","55652756.90476490","232.57191000","25186176.98560290","104039","2025-07-20T14:15:43.357Z","513.90412000"
"1751241600000","108713.81000000","1751245199999","108789.99000000","108255.81000000","108356.93000000","75474426.60800410","382.60878000","41543212.63862580","111861","2025-07-20T14:15:43.357Z","695.19445000"
"1751245200000","108493.93000000","1751248799999","108770.00000000","108396.18000000","108713.80000000","38518155.13166960","150.89581000","16389980.42022540","78002","2025-07-20T14:15:43.357Z","354.63098000"
"1751248800000","108479.81000000","1751252399999","108652.00000000","108445.01000000","108493.92000000","30796285.09116440","144.24813000","15657435.29803250","50671","2025-07-20T14:15:43.357Z","283.70170000"
"1751252400000","108503.74000000","1751255999999","108580.00000000","108419.56000000","108479.99000000","25023629.37815490","96.13005000","10429652.00887060","34941","2025-07-20T14:15:43.357Z","230.64114000"
"1751256000000","108314.99000000","1751259599999","108538.76000000","108301.60000000","108503.74000000","28731419.54838450","77.84750000","8440976.58963830","33894","2025-07-20T14:15:43.357Z","265.01430000"
"1751259600000","108280.65000000","1751263199999","108380.00000000","108168.48000000","108314.98000000","24934220.90097110","109.12908000","11816657.42538830","38596","2025-07-20T14:15:43.357Z","230.27709000"
"1751263200000","107571.72000000","1751266799999","108299.99000000","107518.88000000","108280.66000000","63489174.97096990","210.81473000","22731432.94287650","83432","2025-07-20T14:15:43.357Z","588.67050000"
"1751266800000","107614.08000000","1751270399999","107746.13000000","107481.31000000","107571.73000000","53516697.67770340","270.61251000","29118296.78027760","64961","2025-07-20T14:15:43.357Z","497.31364000"
"1751270400000","107512.89000000","1751273999999","107747.76000000","107459.00000000","107614.07000000","39662491.73597880","175.44992000","18875715.63606030","49056","2025-07-20T14:15:43.357Z","368.67900000"
"1751274000000","107478.77000000","1751277599999","107704.98000000","107466.18000000","107512.89000000","28953944.96773780","110.96451000","11938387.00772620","41253","2025-07-20T14:15:43.357Z","269.13675000"
"1751277600000","107649.49000000","1751281199999","107649.50000000","107400.00000000","107478.78000000","28363213.14671930","116.78991000","12557822.47096930","36197","2025-07-20T14:15:43.357Z","263.79321000"
"1751281200000","107654.20000000","1751284799999","107964.33000000","107624.99000000","107649.50000000","36709993.02385260","177.59060000","19140069.15307900","44058","2025-07-20T14:15:43.357Z","340.59546000"
"1751284800000","107570.58000000","1751288399999","107824.31000000","107561.16000000","107654.21000000","39002221.35900860","119.43107000","12861325.16467870","45926","2025-07-20T14:15:43.357Z","362.20383000"
"1751288400000","107525.49000000","1751291999999","107858.79000000","107482.56000000","107570.59000000","58785070.10510220","181.31257000","19520124.60023890","107276","2025-07-20T14:15:43.357Z","546.11194000"
"1751292000000","106803.32000000","1751295599999","107641.31000000","106777.77000000","107525.49000000","125004760.09475250","444.66476000","47667838.13118330","215099","2025-07-20T14:15:43.357Z","1166.01856000"
"1751295600000","107580.46000000","1751299199999","107796.20000000","106733.33000000","106803.32000000","97113956.77785040","514.63081000","55188555.51058250","196928","2025-07-20T14:15:43.357Z","905.70004000"
"1751299200000","107599.96000000","1751302799999","107807.94000000","107281.50000000","107580.47000000","44426572.90660900","192.14973000","20663638.20795980","99414","2025-07-20T14:15:43.357Z","413.06794000"
"1751302800000","107462.94000000","1751306399999","107792.99000000","107429.39000000","107599.96000000","37302259.63158260","132.22363000","14233151.18627090","82110","2025-07-20T14:15:43.357Z","346.53424000"
"1751306400000","107242.01000000","1751309999999","107614.90000000","107116.40000000","107462.95000000","24699064.90149740","102.00259000","10946519.05659960","72888","2025-07-20T14:15:43.357Z","230.18635000"
"1751310000000","107745.97000000","1751313599999","107794.19000000","107212.60000000","107242.00000000","34946571.53202090","194.53086000","20916306.79513610","71715","2025-07-20T14:15:43.357Z","325.03838000"
"1751313600000","107577.89000000","1751317199999","107764.73000000","107480.00000000","107745.97000000","20139200.18881360","81.44596000","8763359.27011500","49798","2025-07-20T14:15:43.357Z","187.16819000"
"1751317200000","107130.81000000","1751320799999","107589.00000000","106900.02000000","107577.88000000","47372170.12373380","114.76393000","12304588.78677580","61097","2025-07-20T14:15:43.357Z","441.72872000"
"1751320800000","107112.75000000","1751324399999","107317.53000000","107029.64000000","107130.80000000","21789844.04860050","101.82290000","10915969.91570610","59272","2025-07-20T14:15:43.357Z","203.26500000"
"1751324400000","107146.50000000","1751327999999","107232.59000000","107063.04000000","107112.76000000","25651808.49417610","129.32096000","13853522.79119570","45040","2025-07-20T14:15:43.357Z","239.45350000"
"1751328000000","107377.02000000","1751331599999","107449.25000000","107026.93000000","107146.51000000","27201245.05979660","114.96074000","12329702.63858740","68242","2025-07-20T14:15:43.357Z","253.62802000"
"1751331600000","107220.00000000","1751335199999","107540.00000000","107171.42000000","107377.03000000","23588589.19664710","80.21028000","8614095.19461540","67588","2025-07-20T14:15:43.357Z","219.64653000"
"1751335200000","107101.69000000","1751338799999","107410.74000000","107097.87000000","107220.00000000","22208214.33387020","81.41164000","8731958.12481600","54684","2025-07-20T14:15:43.357Z","207.06087000"
"1751338800000","107192.38000000","1751342399999","107223.00000000","107070.20000000","107101.68000000","31410335.83083600","152.24013000","16314508.43913150","38802","2025-07-20T14:15:43.357Z","293.12458000"
